feature_name,importance,rank
feature_530,0.0,235
feature_544,0.0,236
feature_536,0.0,237
feature_537,0.0,238
feature_005,0.0,239
feature_538,0.0,240
feature_532,0.0,241
feature_533,0.0,242
feature_534,0.0,243
feature_535,0.0,244
feature_528,0.0,245
feature_229,0.0,246
feature_226,0.0,247
feature_179,0.0,248
feature_149,0.0,249
feature_209,0.0,250
feature_220,0.0,251
feature_231,0.0,252
feature_230,0.0,253
feature_178,0.0,254
feature_191,0.0,255
feature_190,0.0,256
feature_013,0.0,257
feature_189,0.0,258
feature_186,0.0,259
feature_509,0.0,260
feature_508,0.0,261
feature_507,0.0,262
feature_506,0.0,263
feature_505,0.0,264
feature_504,0.0,265
feature_518,0.0,266
feature_517,0.0,267
feature_262,0.0,268
feature_261,0.0,269
feature_260,0.0,270
feature_259,0.0,271
feature_258,0.0,272
feature_257,0.0,273
feature_256,0.0,274
feature_206,0.0,275
feature_462,0.0,276
feature_449,0.0,277
feature_450,0.0,278
feature_451,0.0,279
feature_193,0.0,280
feature_192,0.0,281
feature_463,0.0,282
feature_194,0.0,283
feature_481,0.0,284
feature_141,0.0,285
feature_464,0.0,286
feature_478,0.0,287
feature_242,0.0,288
feature_241,0.0,289
feature_243,0.0,290
feature_502,0.0,291
feature_074,0.0,292
feature_284,0.0,293
feature_292,0.0,294
feature_293,0.0,295
feature_237,0.0,296
feature_236,0.0,297
feature_234,0.0,298
feature_235,0.0,299
feature_246,0.0,300
feature_114,0.0,301
feature_104,0.0,302
feature_109,0.0,303
feature_110,0.0,304
feature_111,0.0,305
feature_512,0.0,306
feature_513,0.0,307
feature_266,0.0,308
feature_265,0.0,309
feature_264,0.0,310
feature_244,0.0,311
feature_232,0.0,312
feature_233,0.0,313
feature_245,0.0,314
feature_501,0.0,315
feature_503,0.0,316
feature_157,0.0,317
feature_158,0.0,318
feature_263,0.0,319
feature_249,0.0,320
feature_240,0.0,321
feature_492,0.0,322
feature_498,0.0,323
feature_422,0.0,324
feature_313,0.0,325
feature_314,0.0,326
feature_315,0.0,327
feature_322,0.0,328
feature_325,0.0,329
feature_326,0.0,330
feature_327,0.0,331
feature_514,0.0,332
feature_515,0.0,333
feature_516,0.0,334
feature_276,0.0,335
feature_278,0.0,336
feature_396,0.0,337
feature_395,0.0,338
feature_414,0.0,339
feature_347,0.0,340
feature_358,0.0,341
feature_357,0.0,342
feature_399,0.0,343
feature_397,0.0,344
feature_398,0.0,345
feature_329,0.0,346
feature_342,0.0,347
feature_049,0.0,348
feature_069,0.0,349
feature_401,0.0,350
feature_400,0.0,351
feature_403,0.0,352
feature_404,0.0,353
feature_394,0.0,354
feature_402,0.0,355
feature_101,0.0,356
feature_100,0.0,357
feature_097,0.0,358
feature_042,0.0,359
feature_052,0.0,360
feature_328,0.0,361
feature_095,0.0,362
feature_085,0.0,363
feature_384,0.0,364
feature_387,0.0,365
feature_376,0.0,366
feature_377,0.0,367
feature_378,0.0,368
feature_379,0.0,369
feature_330,0.0,370
feature_094,0.0,371
feature_381,0.0,372
feature_380,0.0,373
feature_382,0.0,374
feature_383,0.0,375
feature_371,0.0,376
feature_372,0.0,377
feature_369,0.0,378
feature_370,0.0,379
feature_374,0.0,380
feature_373,0.0,381
feature_364,0.0,382
feature_375,0.0,383
feature_578,0.0,384
feature_579,0.0,385
feature_580,0.0,386
feature_581,0.0,387
feature_448,-2.55978115091815e-06,388
feature_427,-5.797142088737051e-06,389
feature_064,-1.7081422965492533e-05,390
feature_543,-1.903660060854351e-05,391
feature_289,-1.933592085186231e-05,392
feature_331,-2.0581911241035477e-05,393
